,iso_code,month_count,total_vaccinations,population,vac_month,vac_person,vac_honderdduizend,continent,location
2678,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2679,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2680,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2681,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2682,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2683,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2684,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2685,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2686,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2687,KOR,20.0,129537866.0,51815808.0,6476893.3,0.12499840396197237,12499.840396197236,Azie,South Korea
2688,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2689,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2690,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2691,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2692,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2693,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2694,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2695,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2696,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2697,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2698,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2699,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2700,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2701,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2702,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2703,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2704,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2705,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2706,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2707,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2708,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2709,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2710,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2711,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2712,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2713,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2714,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2715,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
2716,KWT,22.0,8235679.0,4268886.0,374349.04545454547,0.0876924437557118,8769.24437557118,Azie,Kuwait
